Provinsi;Tahun;IPM;PDRB_PerKapita(Rp);JPM;Avr_LamaSekolah;Avr_AHH;TPT(%);UMR(Rp)
ACEH;2020;73,29;31633;1648,82;9,33;69,98;6,00;3165031
SUMATERA UTARA;2020;73,62;54979;2640,01;9,54;69,15;5,81;2499423
SUMATERA BARAT;2020;74,29;43826;709,02;8,99;69,52;6,07;2484041
RIAU;2020;73,67;114167;974,61;9,14;71,65;5,62;2888564
JAMBI;2020;72,29;57958;565,9;8,55;71,17;4,70;2630162
SUMATERA SELATAN;2020;71,62;53843;2201,23;8,24;69,93;4,71;3043111
BENGKULU;2020;72,93;36552;608,58;8,84;69,37;3,58;2213604
LAMPUNG;2020;71,04;39290;2140,46;8,05;70,70;4,47;2432002
KEP. BANGKA BELITUNG;2020;72,74;52023;140,44;8,06;70,68;4,30;3230024
KEP. RIAU;2020;77,69;123465;274,58;10,12;69,99;8,16;3005460
DKI JAKARTA;2020;81,92;262615;977,7;11,13;72,95;8,05;4276350
JAWA BARAT;2020;72,61;43237;8108,75;8,55;73,15;9,09;1810351
JAWA TENGAH;2020;71,88;36965;8100,83;7,69;74,41;5,34;1742015
DI YOGYAKARTA;2020;79,95;37694;978,86;9,55;75,03;3,98;1704608
JAWA TIMUR;2020;73,04;56641;9005,07;7,78;71,35;4,72;1768777
BANTEN;2020;74,41;52729;1633,63;8,89;70,01;9,32;2460997
BALI;2020;76,52;52015;362,11;8,95;72,16;3,44;2494000
NUSA TENGGARA BARAT;2020;70,46;25184;1459,93;7,31;66,51;3,63;2183883
NUSA TENGGARA TIMUR;2020;66,93;20057;2327,29;7,63;67,06;3,46;1950000
KALIMANTAN BARAT;2020;68,76;39622;737,48;7,37;70,74;5,14;2399699
KALIMANTAN TENGAH;2020;72,62;57145;274,72;8,59;69,75;3,96;2903145
KALIMANTAN SELATAN;2020;73,09;44101;394,79;8,29;68,69;4,21;2877449
KALIMANTAN TIMUR;2020;75,94;161799;474,25;9,77;74,38;6,80;2981379
KALIMANTAN UTARA;2020;71;143533;104,49;9;72,54;5,34;3000804
SULAWESI UTARA;2020;73,67;50521;388,22;9,49;71,75;6,36;3310723
SULAWESI TENGAH;2020;70,31;66306;802,47;8,83;68,75;3,35;2303711
SULAWESI SELATAN;2020;73,08;55675;1577,07;8,38;70,62;6,01;3103800
SULAWESI TENGGARA;2020;71,61;49718;619,14;9,04;71,34;3,84;2552015
GORONTALO;2020;69,51;35693;370,33;7,82;68,12;3,79;2788826
SULAWESI BARAT;2020;68,4;32837;311,07;7,89;65,11;2,86;2678863
MALUKU;2020;71,34;25094;640,58;9,81;66,03;7,14;2604961
MALUKU UTARA;2020;69,3;33069;173,89;9,04;68,38;4,62;2721530
PAPUA BARAT;2020;65,94;73933;423,8;7,6;66,05;6,79;3134600
PAPUA;2020;61,22;46416;1823,6;6,69;65,84;3,85;3516700
ACEH;2021;73,48;34674;1684,5;9,37;70,01;6,30;3165031
SUMATERA UTARA;2021;73,84;57442;2616,93;9,58;69,28;6,17;2499423
SUMATERA BARAT;2021;74,56;45218;710,6;9,07;69,64;6,60;2484041
RIAU;2021;73,89;129741;997,47;9,19;71,72;4,69;3005460
JAMBI;2021;72,62;64771;573,72;8,6;71,26;4,93;3230023
SUMATERA SELATAN;2021;71,83;57745;2230,37;8,3;70,03;5,08;3043111
BENGKULU;2021;73,16;39167;597,79;8,87;69,47;3,69;2888564
LAMPUNG;2021;71,25;40807;2090,95;8,08;70,78;4,62;2432001
KEP. BANGKA BELITUNG;2021;72,96;58406;142,41;8,08;70,78;5,04;2215000
KEP. RIAU;2021;77,87;131884;282,21;10,18;70,16;10,02;2630162
DKI JAKARTA;2021;82,25;274660;1000,21;11,17;73,06;8,51;4416186
